program_type,ielts_score,price_evaluation
MSc,6.5,First quartile
MA,,Third quartile
MBA,7.0,Forth quartile
MBA,,First quartile
Master,,Second quartile
MSc,6.5,Second quartile
Master,6.0,Third quartile
MEd,6.5,First quartile
MSc,6.5,Second quartile
MA,6.5,First quartile
MSc,,Second quartile
MSc,5.5,First quartile
MA,6.0,Second quartile
MSc,,First quartile
MSc,6.5,Forth quartile
MA,7.0,Second quartile
MA,6.5,First quartile
MA,6.5,Second quartile
MSc,6.5,First quartile
MSc,,Second quartile
MEd,,Second quartile
MSc,6.5,Second quartile
MSc,7.0,Third quartile
Master,7.0,Forth quartile
Master,,First quartile
MSc,6.5,Forth quartile
MSc,,Forth quartile
Master,,Second quartile
MBA,7.0,Second quartile
MA,6.5,Third quartile
MSc,7.0,Forth quartile
Master,6.5,Third quartile
MSc,5.5,First quartile
Master,6.0,First quartile
MEd,6.5,Forth quartile
Master,7.0,Forth quartile
MA,7.5,Second quartile
MSc,6.5,Third quartile
MEd,7.5,First quartile
MSc,6.5,First quartile
Master,,First quartile
MSc,6.0,Third quartile
MA,,Forth quartile
MBA,6.5,Forth quartile
MSc,6.0,First quartile
MA,6.5,Third quartile
MA,,Forth quartile
MSc,,Forth quartile
MSc,6.5,First quartile
MA,6.5,Third quartile
MA,,Forth quartile
MA,7.0,Second quartile
MA,6.5,First quartile
MA,6.5,Third quartile
MSc,6.5,Second quartile
MA,6.5,Second quartile
MA,6.5,Third quartile
MEd,6.0,First quartile
Master,,First quartile
MSc,,Second quartile
MSc,6.0,First quartile
MSc,6.5,Third quartile
MSc,6.5,First quartile
MSc,6.5,Forth quartile
MSc,6.0,First quartile
MSc,,Forth quartile
MSc,6.5,Third quartile
MBA,,Forth quartile
MEd,6.5,Second quartile
MEng,7.0,Forth quartile
MA,6.5,Third quartile
MSc,6.5,Third quartile
MSc,6.5,Third quartile
Postgraduate Certificate,7.0,Second quartile
MSc,5.5,Third quartile
MEd,6.5,First quartile
MA,7.5,First quartile
MSc,,First quartile
MSc,,Second quartile
Master,6.5,First quartile
MEd,7.0,Forth quartile
MSc,7.0,First quartile
MA,6.5,Third quartile
MSc,7.0,Second quartile
MA,6.5,Second quartile
MA,6.0,First quartile
MEd,,Second quartile
MEd,6.0,Forth quartile
MSc,6.0,First quartile
MSc,,First quartile
MA,5.5,First quartile
MA,7.0,Forth quartile
MA,7.0,Forth quartile
MEng,6.5,Third quartile
MA,7.0,Forth quartile
Postgraduate Certificate,6.0,First quartile
MA,6.0,First quartile
MSc,6.0,First quartile
Master,6.5,Third quartile
MA,,First quartile
MBA,7.0,Third quartile
Master,7.0,Third quartile
MSc,6.5,Forth quartile
MFA,6.5,Forth quartile
MSc,,First quartile
Postgraduate Certificate,,Second quartile
Postgraduate Certificate,,Second quartile
MA,,Second quartile
MA,6.0,First quartile
MA,6.5,Forth quartile
MSc,6.5,First quartile
MEd,6.0,Second quartile
Master,6.5,Forth quartile
MSc,6.5,First quartile
MSc,6.5,Second quartile
MSc,6.5,Third quartile
Master,6.5,Forth quartile
Master,,Forth quartile
MSc,7.0,Forth quartile
MA,,Forth quartile
MA,7.0,Second quartile
MA,6.5,Third quartile
Master,7.0,First quartile
MA,7.0,Third quartile
MSc,,Third quartile
MA,7.5,First quartile
MA,6.0,Third quartile
MSc,7.0,Second quartile
MA,6.5,Second quartile
MSc,8.0,Forth quartile
MSc,,Second quartile
MA,7.0,Forth quartile
Master,,Third quartile
MSc,6.5,First quartile
MSc,6.5,Second quartile
MA,6.5,Second quartile
MSc,7.0,Second quartile
MSc,,Second quartile
MSc,6.5,Second quartile
MSc,,First quartile
MSc,6.5,Third quartile
MA,,Second quartile
MSc,7.0,First quartile
MA,6.5,Third quartile
MSc,6.5,Forth quartile
MSc,7.5,First quartile
MBA,7.5,Forth quartile
MSc,6.0,Forth quartile
Pre-Master,6.5,Forth quartile
MSc,6.0,First quartile
MSc,,Second quartile
MEd,7.0,Second quartile
MA,6.5,Second quartile
MSc,6.0,First quartile
MA,7.0,Second quartile
Master,6.0,First quartile
MSc,6.5,First quartile
MSc,6.5,Third quartile
MEd,6.0,Third quartile
MSc,6.5,Third quartile
Master,6.5,Third quartile
MSc,6.5,Second quartile
MEd,,Second quartile
Master,7.0,Second quartile
MSc,6.5,Forth quartile
MSc,7.0,Forth quartile
MSc,6.5,First quartile
MEd,6.5,Second quartile
MA,,Third quartile
MA,6.5,Forth quartile
MEd,6.0,First quartile
MSc,6.5,Third quartile
MSc,6.5,First quartile
MA,,Second quartile
MEd,6.5,First quartile
MSc,,Third quartile
MBA,7.0,Forth quartile
MEd,6.5,Second quartile
MSc,,Forth quartile
MA,6.0,Third quartile
MSc,7.0,Forth quartile
MSc,6.0,Third quartile
MEng,7.0,Second quartile
MSc,6.5,First quartile
MSc,6.0,First quartile
MSc,,Second quartile
MSc,6.5,Second quartile
MSc,,First quartile
MSc,,Second quartile
MBA,,Third quartile
MSc,,First quartile
MSc,6.5,First quartile
Master,7.0,Second quartile
MSc,6.5,Forth quartile
MSc,7.0,Forth quartile
MSc,6.5,Forth quartile
MA,6.5,Third quartile
MBA,6.5,Third quartile
MA,6.5,Third quartile
Master,6.5,Second quartile
MA,6.5,Third quartile
MA,6.5,First quartile
MA,6.5,Third quartile
MSc,7.0,Second quartile
MEd,6.5,Second quartile
MA,,Forth quartile
MSc,6.5,Third quartile
MEd,6.0,Third quartile
MA,,First quartile
Master,6.5,Third quartile
MA,6.5,Third quartile
MEd,,First quartile
MA,6.0,Third quartile
MSc,,Second quartile
Master,6.5,Third quartile
MSc,6.5,Second quartile
MFA,7.0,Forth quartile
MSc,6.5,Third quartile
MA,6.0,Third quartile
MA,6.0,Third quartile
MSc,6.0,First quartile
MBA,6.5,Second quartile
MSc,7.0,Third quartile
MA,7.0,Second quartile
MEd,6.0,First quartile
Pre-Master,,Second quartile
MEd,6.5,Third quartile
MSc,6.5,Forth quartile
MSc,7.0,Third quartile
MA,6.5,Forth quartile
MA,,Forth quartile
MA,6.5,Second quartile
MSc,7.0,Second quartile
MSc,6.0,First quartile
Master,7.0,Forth quartile
Master,6.5,Third quartile
MA,7.0,First quartile
MSc,6.5,Second quartile
MA,7.5,Forth quartile
MSc,,Third quartile
MSc,7.0,Second quartile
Master,6.0,Forth quartile
MSc,,Third quartile
Master,6.5,First quartile
MA,6.5,Third quartile
MA,6.5,Third quartile
MA,6.5,Third quartile
MSc,7.0,Second quartile
MA,7.0,Forth quartile
Pre-Master,6.0,Third quartile
